sample	.pred_ARPC	.pred_NEPC	.pred_class
ubc9	0.6940646538033792	0.30593534619662077	ARPC
ubc53	0.6957391047866981	0.30426089521330185	ARPC
ubc42	0.6980144836243138	0.3019855163756861	ARPC
ubc5	0.700698330061108	0.2993016699388919	ARPC
ubc64	0.7039736536036973	0.2960263463963027	ARPC
ubc65	0.7063212449859226	0.2936787550140774	ARPC
ubc60	0.7084899315557368	0.2915100684442632	ARPC
ubc38	0.710342048644509	0.289657951355491	ARPC
ubc66	0.711526452415137	0.28847354758486304	ARPC
ubc54	0.7126729537807268	0.2873270462192732	ARPC
